site_name,Ecoregion,year,CS,DCW0,DCW,DCW1_5,DCW2,DCM,DCM0_5,PARd,DLW,DLWln,dDLW,dDLWln,dDLW2m,dDLW2mln,dDLW5m,dDLWsite,Kd490a,LS,bleaching,Report,CS0count,CS1count,CS2count,DCW-MCS0,DCW-MCS1,CS-MCS,C-PAR,C-PARprevm,CountDays,consecutive_days
CPU,Gulf of California,2016,1.556911588,0,0,0,0,0,0,3.536429358,21.517,3.06884332,32.682,3.486824468,41.6436,3.729147695,67.0948,67.0948,-0.07,3.536,0,,0,0,0,0,0,0.75,27,25,0,1
CPU,Gulf of California,2017,-0.638302698,-1.937,0,0,0,-0.24,0,1.841983324,25.969,3.256903519,21.807,3.082231019,15.68,2.752386015,13.605,13.605,-0.007,1.842,0,,29,0,0,0,0,-0.3,15,24,23,9
DAN,Gulf of California,1998,0.995615514,0,0,0,0,0,0,3.392809176,37.05,3.612268352,43.621,3.775538686,31.47633333,3.449235941,23.245,26.0818,-0.099,3.393,0,,0,0,0,0,0,0.49,26,9,2,1
DAN,Gulf of California,1999,-1.6886702,-7.752,-2.99,-1.689,0,-1.8,-1.13,3.340870542,33.204,3.502670351,37.001,3.610944939,29.4104,3.381348353,11.7466,22.9944,-0.118,3.341,0,,104,18,0,0,0,-1.58,24,12,73,34
DAN,Gulf of California,2000,-1.131527343,-4.502,-1.13,0,0,-0.84,0,3.90814164,39.625,3.679460232,39.327,3.671911306,34.3688,3.537149176,20.4986,30.2058,-0.137,3.908,0,,69,30,3,0,0,-1.3,27,12,54,27
DAN,Gulf of California,2001,-1.214384486,-4.93,-2.23,0,0,-0.67,0,3.335884827,39.074,3.665457284,23.3125,3.148989697,18.3104,2.907469204,14.8808,17.7358,-0.156,3.336,0,,69,32,2,0,0,-1.5,22,14,40,37
DAN,Gulf of California,2002,-1.287241629,-7.278,-2.4,0,0,-1.11,-0.97,3.355793182,31.824,3.460220722,40.209,3.694090851,38.3266,3.646144172,32.9474,37.8748,-0.175,3.356,0,,0,0,0,0,0,-2.41,27,9,54,40
DAN,Gulf of California,2003,0.782758371,0,0,0,0,0,0,-3.068425899,21.041,3.046472915,26.931,3.293278039,16.56333333,2.807191417,18.66133333,18.39316667,0.076,0.593,0,,11,0,0,0,0,0.52,19,20,4,1
DAN,Gulf of California,2004,-1.632955914,-10.598,-3.68,-1.633,0,-1.88,-1.88,3.756561478,23.592,3.160907672,39.293,3.671046386,28.3384,3.344217775,22.1822,27.0602,-0.114,3.757,0,,41,8,0,0,0,-1.18,21,21,68,72
DAN,Gulf of California,2005,0.049901229,0,0,0,0,0,0,5.153199256,25.964,3.256710963,36.16,3.587953536,31.3876,3.44641291,40.8694,36.5284,-0.165,5.153,0,,51,0,0,0,0,0.05,17,24,4,2
DAN,Gulf of California,2006,-1.290098771,-7.893,-2.56,0,0,-1.28,-0.68,-0.411675322,20.319,3.011556409,11.535,2.445385892,10.87866667,2.386803685,12.51966667,11.72383333,-0.061,0.457,0,,48,3,0,0,0,-1.7,10,26,66,46
DAN,Gulf of California,2007,-1.051051152,-5.883,-1.05,0,0,-0.71,-0.59,4.368731988,30.223,3.408603224,30.785,3.427027558,39.7268,3.682026023,55.7334,47.4368,-0.196,4.369,0,,20,6,2,0,0,-1.09,21,23,47,25
DAN,Gulf of California,2008,-1.914384486,-16.281,-13.04,-6.856,0,-3.14,-3.14,2.651590498,28.577,3.352602198,38.504,3.650762132,38.26216667,3.644461592,39.3512,38.663,-0.161,2.652,1,Severe,88,46,8,0,-3.235,-2.39,24,21,78,78
DAN,Gulf of California,2009,-0.5786702,-1.074,0,0,0,-0.13,0,2.506962351,15.483,2.739742648,29.025,3.368157528,35.0755,3.557502881,37.92883333,37.922,-0.137,2.507,0,,2,0,0,0,0,-0.35,17,23,15,14
DAN,Gulf of California,2010,1.322758371,0,0,0,0,0,0,4.277479413,26.167,3.264499075,40.738,3.707161318,34.6784,3.546117015,43.095,40.169,-0.153,4.277,0,,26,0,0,0,0,0.65,21,28,0,1
DAN,Gulf of California,2011,-1.694384486,-12.452,-4.6,-3.278,0,-2.12,-1.95,2.870445075,21.812,3.082460277,37.081,3.613104709,41.5254,3.726305288,44.829,44.6676,-0.154,2.87,1,Medium,111,70,40,0,0,-1.77,19,24,80,48
DAN,Gulf of California,2012,-1.204384486,-10.493,-4.42,0,0,-2.19,-1.71,1.960528601,16.287,2.790367244,22.157,3.098153474,19.57933333,2.974474588,16.2738,18.8052,-0.133,1.961,0,,46,17,0,0,0,-1.71,10,16,83,82
DAN,Gulf of California,2013,-0.776467819,-3.412,0,0,0,-0.45,0,2.092284844,25.982,3.257403991,25.391,3.234394781,23.8136,3.170256846,28.1782,25.7884,-0.168,2.092,0,,10,0,0,0,0,-0.61,16,13,36,12
DAN,Gulf of California,2014,0.987044086,0,0,0,0,0,0,2.868875303,18.266,2.905041408,44.03,3.78487122,33.44916667,3.510026873,39.79516667,37.33,-0.151,2.869,0,,0,0,0,0,0,0.68,26,26,0,1
DAN,Gulf of California,2015,0.756448848,0,0,0,0,0,0,-0.50923484,12.944,2.56063236,19.078,2.948535839,14.9898,2.70736997,15.8678,15.9468,-0.104,0,0,,0,0,0,0,0,0.9,12,22,0,1
DAN,Gulf of California,2016,1.6013298,0,0,0,0,0,0,4.691492391,26.371,3.272264922,45.106,3.809015275,49.4942,3.901855491,53.989,53.7188,-0.164,4.691,0,,0,0,0,0,0,0.81,26,20,0,1
DAN,Gulf of California,2017,-0.775384486,-2.038,0,0,0,-0.14,0,3.008926417,34.825,3.55033552,32.627,3.485140166,26.0656,3.260616437,19.131,23.9322,-0.13,3.009,0,,26,0,0,-0.132,0,-0.38,25,23,22,8
